"Publisher Name","Publisher Registry ID","2014
Reference Spend Value","2014
Reference Spend Source URL","2014
Accounting Year
","2014 Account Narrative/s used","2015
Reference Spend Value","2015
Reference Spend Source URL","2015
Accounting Year
","2015 Account Narrative/s used","2015
Official Forecast","Currency code","Data error 
reported"
"ICA:UK","icauk",89740,"http://apps.charitycommission.gov.uk/Accounts/Ends45/0001090745_AC_20140630_E_C.pdf",,"Non-calendar year ended 30th June 2014 (so technically for the previous year, but very close, and nothing more recent published), charitable activities, page 7 of report"," ",,,,,"GBP",
"ICCO Cooperation","icco-cooperation",76685503,"http://icco-international.com/int/linkservid/D9FAAFF3-A3CF-4F91-6DB97E9E0F014E7D/showMeta/0/?__utma=250324224.613278850.1456134689.1456134689.1456134689.1&__utmb=250324224.5.10.1456134689&__utmc=250324224&__utmx=-&__utmz=250324224.1456134689.1.1.utmcsr=google|utmccn=(organic)|utmcmd=organic|utmctr=(not%20provided)&__utmv=-&__utmk=23801849",,"Spent on objectives, page 61 of report",,,,,,"EUR",
"ICS","ics","NO DATA",,,,"NO DATA",,,,,,
"Indigo Trust","indtrust",719000,"http://apps.charitycommission.gov.uk/Accounts/Ends20/0001075920_AC_20150405_E_C.pdf",,"Non-calendar year ended 5th April 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Institute of Development Studies","ids",19571000,"http://opendocs.ids.ac.uk/opendocs/bitstream/handle/123456789/7082/IDS_AnnualFinancialStatements_1415.pdf?sequence=1",,"Non-calendar year ended 31st March 2015, sum of three charitable activities, page 25 of report",,,,,,"GBP",
"Integrity Action","integrity_action",1354416,"http://apps.charitycommission.gov.uk/Accounts/Ends27/0001120927_AC_20140930_E_C.pdf",,"Non-calendar year ended 30th September 2014, sum of charitable activities",1820000,"http://apps.charitycommission.gov.uk/Accounts/Ends27/0001120927_AC_20150930_E_C.pdf",,"Non-calendar year ended 30th September 2015, charitable activities from charity commission summary",,"GBP",
"Inter-American Development Bank","iadb",8788843254,"DAC*",,"Sum of ORC and MIF (crs agency names)",,,,,,"USD",
"Interact Worldwide","iww_publish","NO DATA",,,"Worth checking with Bond",,,,,,"-",
"InterAction","interaction",7448940,"https://www.interaction.org/sites/default/files/AnnualReport2014/AR2014_InterActionFinancialHighlights.pdf",,"Program services",,,,,,"USD",
"InterAction's NGO Aid Map","ia_nam","NO DATA","https://ngoaidmap.org/",,"No report found",,,,,,,
"interburns","interburns",141004,"http://apps.charitycommission.gov.uk/Accounts/Ends99/0001122299_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"InterClimate Network","icn","NO DATA",,,,"NO DATA",,,,,,
"International Alert","international-alert",13900000,"http://apps.charitycommission.gov.uk/Accounts/Ends53/0000327553_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"International Fund for Agricultural Development","ifad",1552800000,"http://www.ifad.org/pub/ar/2014/e/print.pdf",,"Total programme and project cost, page 48 of report",,,,,,"USD",
"International HIV/AIDS Alliance","aa",29510000,"http://apps.charitycommission.gov.uk/Accounts/Ends60/0001038860_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"International Law & Policy Institute (ILPI)","ilpi","NO DATA",,,,"NO DATA",,,,,,
"International Medical Corps UK","imc_uk",61480000,"http://apps.charitycommission.gov.uk/Accounts/Ends61/0001093861_AC_20140630_E_C.pdf",,"Non-calendar year ended 30th June 2014 (so technically for the previous year, but very close, and nothing more recent published), charitable activities from charity commission summary",,,,,,"GBP",
"International Planned Parenthood Federation","ippf",129422000,"http://www.ippf.org/sites/default/files/financialreport_2014-2015.pdf",,"Sum of three charitable activities, page 23 of report",,,,,,"USD",
"International Procurement Agency","ipa","NO DATA",,,,"NO DATA",,,,,,
"International Rescue Committee UK","irc_uk",101100000,"http://apps.charitycommission.gov.uk/Accounts/Ends72/0001065972_AC_20140930_E_C.pdf",,"Non-calendar year ended 30th September 2014, charitable activities from charity commission summary",,,,,,"GBP",
"IOD PARC","iodparc","NO DATA",,,,"NO DATA",,,,,,
"iPartner India","ip-india",339600,"http://apps.charitycommission.gov.uk/Accounts/Ends44/0001114944_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Ireland - Department of Foreign Affairs and Trade","irishaid",513561216.2,"DAC*",,"Department of Foreign Affairs",,,,,,"USD",
"Islamic Relief Worldwide","irw",78120000,"http://apps.charitycommission.gov.uk/Accounts/Ends58/0000328158_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Itad","itad",6057880,,,"Provided by ITAD",7375032,,,"Provided by ITAD",,"GBP",
"Japan - Japan International Cooperation Agency (JICA)","jica",9026413779,"DAC*",,"Japan International Co-operation Agency",,,,,,"USD",
"Jeevika Trust","jeevika_trust",48754,"http://apps.charitycommission.gov.uk/Accounts/Ends67/0000291167_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities ",,,,,,"GBP",
"Karuna Trust","karuna",1724396,"https://www.karuna.org/images/financials/Karuna_Trust_2015_signed_full_accounts.pdf",,"Non-calendar year ended 31st March 2015, total charitable expenditure",,,,,,"GBP",
"Kepa ry","kepa","NO DATA",,,,"NO DATA",,,,,,
"KPMG East Africa","kpmgea","NO DATA",,,,"NO DATA",,,,,,
"KPMG LLP","kpmgllp","NO DATA",,,,"NO DATA",,,,,,
"KwaAfrica","kwaafrica",250392,"http://apps.charitycommission.gov.uk/Accounts/Ends69/0001054369_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities, page 10 of report",,,,,,"GBP",
"LAMB Health Care Foundation","lhcf",140144,"http://apps.charitycommission.gov.uk/Accounts/Ends17/0001101217_AC_20141231_E_C.pdf",,"Sum of charitable activities, page 11 of report",,,,,,"GBP",
"LEAD International","lead_international",1250000,"http://apps.charitycommission.gov.uk/Accounts/Ends89/0001086989_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Learning for Life","learningforlife",298919,"http://media.wix.com/ugd/d4b0d9_9a948c70d4564f31aaf18da2fe64d9a0.pdf",,"Non-calendar year ended 31st March 2015, sum of restricted and unrestricted charitable activities, page 12 of report",,,,,,"GBP",
"Leonard Cheshire Disability","lcd_admin",153330000,"http://apps.charitycommission.gov.uk/Accounts/Ends86/0000218186_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Lepra","lepra",4220000,"http://apps.charitycommission.gov.uk/Accounts/Ends51/0000213251_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Link Community Development Scotland","lcds",1560000,"http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1048007&SubsidiaryNumber=0",,"Charitable activities from charity commission summary, full report for year ended 31st March 2015 not yet available. Accounting year appears to have changed, possibly due to a merge, so this figure may be for a 17 month period.",,,,,,"GBP",
"Lithuania, Ministry of Foreign Affairs","lithuania_mfa",4365380.26,"DAC*",,"MFA only",,,,,,"USD",
"Lively Minds","livelyminds",119233,"http://apps.charitycommission.gov.uk/Accounts/Ends12/0001125512_AC_20141231_E_C.pdf",,"Sum of direct expenditure on charitable activities in Ghana and Uganda, page 13 of report",,,,,,"GBP",
"Living Earth Foundation","livingearth12",1630000,"http://apps.charitycommission.gov.uk/Accounts/Ends72/0000800672_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"MADE in Europe","mie-1134415",240647,"https://www.made.ngo/about/annual-reviews?task=callelement&format=raw&item_id=684&element=70ecd53a-a2c5-41d4-b1bf-bc7981ee65cf&method=download&args[0]=0",,"Non-calendar year 2014-2015 but no mention of month, campaigning and education, page 14 of report",,,,,,"GBP",
"MAG","mag",31443186,"http://www.maginternational.org/download/567410c2c52e9/",,"Non-calendar year ended 30th June 2015, charitable activities, page 16 of report",,,,,,"GBP",
"Magariro","magariro","NO DATA",,,,"NO DATA",,,,,,
"Malaria Consortium","malariaconsortium",56430000,"http://apps.charitycommission.gov.uk/Accounts/Ends76/0001099776_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"MAMTA - Health Institute for Mother and Child","mamta_himc","NO DATA",,,,"NO DATA",,,,,"-",
"Manx Times","manxtimes","NO DATA",,,,"NO DATA",,,,,,
"MapAction","mapaction",488600,"http://apps.charitycommission.gov.uk/Accounts/Ends27/0001126727_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Marie Stopes International","msi",226968000,"https://mariestopes.org/sites/default/files/Marie-Stopes-Financial-Statement.pdf",,"Charitable activities, page 22 of report",,,,,,"GBP",
"Maxwell Stamp PLC","mstamp","NO DATA",,,,"NO DATA",,,,,,
"McKinsey & Company","mck","NO DATA",,,,"NO DATA",,,,,,
"Medical Research Centre (MRC), Sierra Leone","mrc-sierra-leone","NO DATA",,,,"NO DATA",,,,,,
"Mercy Corps Europe","mce",51987175,"https://www.mercycorps.org.uk/sites/default/files/Mercy_Corps_Europe_Annual_Report_and_Accounts_2014-15.pdf",,"Non-calendar year ended 30th June 2015, total resources expended minus non-charitable activities",,,,,,"GBP",
"MICAIA","mic-uk",178973,"http://apps.charitycommission.gov.uk/Accounts/Ends13/0001120413_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Micro Insurance Academy","mia_india","NO DATA",,,,"NO DATA",,,,,"-",
"MicroLoan Foundation","mlf",1300000,"http://apps.charitycommission.gov.uk/Accounts/Ends87/0001104287_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Mifumi UK","mifumi_uk","NO DATA",,,,"NO DATA",,,,,,
"mothers2mothers","m2m_sa",16172573,"http://www.m2m.org/wp-content/uploads/2015/09/2014AnnualReport.pdf",,"Non-calendar year ended 31st March 2015, programme services",,,,,,"USD",
"Motivation","motivation",2300000,"http://apps.charitycommission.gov.uk/Accounts/Ends58/0001079358_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Muslim Aid","muslimaid",28873560,"https://www.muslimaid.org/download/9059/",,"Total charitable expenditure, page 16 of report",,,,,,"GBP",
"Nathan Associates London Ltd.","nathan","NO DATA",,,,"NO DATA",,,,,,
"Natural Resource Governance Institute","nrgi",11416133,"http://www.resourcegovernance.org/sites/default/files/NRGI_2014_Financial_Statements.pdf",,"Total program services, page 4 of report",,,,,,"USD",
"Netherlands - Ministry of Foreign Affairs","minbuza_nl",4180104554,"DAC*",,"Ministry of Foreign Affairs ",,,,,,"USD",
"Netherlands Enterprise Agency","rvo","NO DATA",,,,"NO DATA",,,,,,
"Network for Africa","network4africa",397533,"http://apps.charitycommission.gov.uk/Accounts/Ends32/0001120932_AC_20141231_E_C.pdf",,"Charitable activities, page 18 of report"," ",,,,,"GBP",
"Network of International Development Organisations in Scotland","nidos",179908,"http://www.nidos.org.uk/sites/default/files/NIDOS_Impact_Report_2015_web.pdf",,"Non-calendar year 2014-2015 but no mention of months, 2015 spending on page 2 of report, sum of first 6 resources expended (excluding fund generation and governance)",,,,,,"GBP",
"New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme","mfat","NO DATA",,,,"NO DATA",,,,,,
"NGO Federation of Nepal","nfn","NO DATA",,,,"NO DATA",,,,,,
"Norad - Norwegian Agency for Development Cooperation","norad",3757054544,"DAC*",,"Norwegian Agency for Development Co-operation plus Ministry of Foreign Affairs",,,,,,"USD",
"Norwegian Refugee Council","nrc",1939459000,"http://www.nrc.no/arch/_img/9203178.pdf",,"Total direct costs to programme activities, page 1 of report",,,,,,"NOK",
"OCHA Financial Tracking Service","ocha_fts","NO DATA",,,"Was told not applicable",,,,,,"-",
"One to One Children's Fund","onetoonecf",924100,"http://apps.charitycommission.gov.uk/Accounts/Ends59/0001086159_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Opportunity International UK","opportunity-international-uk",7540000,"http://apps.charitycommission.gov.uk/Accounts/Ends13/0001107713_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Options Consultancy Services","options","NO DATA",,,,"NO DATA",,,,,,
"Oxfam GB","oxfamgb",298400000,"http://apps.charitycommission.gov.uk/Accounts/Ends18/0000202918_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Oxfam India","oxfamindia",526000000,"https://www.oxfamindia.org/ar2015/finance.html",,"Non-calendar year ended 31st March 2015, programme expenditure",,,,,,"INR",
"Oxfam Novib","onl",168289000,"https://oxfam.app.box.com/s/j39kx2txzzjchzt2qu8dw0g0nckka10z/1/4121351863/34134704389/1",,"Non-calendar year ended 31st March 2015, expenditure on goal of ‘structural poverty alleviation’ Final Statement",,,,,,"EUR",
"Oxford Policy Management","opml","NO DATA",,,,"NO DATA",,,,,,
"Pact","pact",127859303,"http://www.pactworld.org/sites/default/files/Pact_AR_14_FNL_sprds_LR%5B1%5D_0.pdf",,"Non-calendar year ended 30th September 2014, program services, page 18 of report",,,,,,"USD",
"Palladium International Ltd (UK)","palladium","NO DATA",,,,"NO DATA",,,,,,
"partos","partos_nl","NO DATA",,,,"NO DATA",,,,,,
"PEAS (Promoting Equality in African Schools)","peas",3020000,"http://apps.charitycommission.gov.uk/Accounts/Ends50/0001126550_AC_20150131_E_C.pdf",,"Non-calendar year ended 31st January 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Penal Reform International","pri",3491345,"http://www.penalreform.org/wp-content/uploads/2015/06/PRI_Annual_Report_2014_web.pdf",,"Non-calendar year April 2014 to April 2015, direct costs, page 29 of report",,,,,,"EUR",
"People In Aid","peopleinaid",586.8,"http://apps.charitycommission.gov.uk/Accounts/Ends68/0001078768_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"PHASE Nepal","phase-nepal","NO DATA",,,,"NO DATA",,,,,"NPR",
"PHASE Worldwide","phase_worldwide",93991.04,"http://phaseworldwide.org/wp-content/uploads/2016/03/Annual-Report-2014-2015-final.pdf",,"Sum of specific project expenditure totals on page 20",215308.78,"http://phaseworldwide.org/wp-content/uploads/2016/03/Annual-Report-2014-2015-final.pdf",,"Sum of specific project expenditure totals on page 20",,"GBP",
"Plan International Finland","planinternationalfinland","NO DATA",,,,"NO DATA",,,,,,
"Plan International UK (DfID projects)","plan_uk",23555000,"http://issuu.com/planinternationaluk/docs/plan-uk-trustees-annual-report_2015/61?e=1385953/30672043",,"Non-calendar year ended 30th June 2015, sum of restricted funds given by DfID (see p57-8)",,,,,,"GBP",
"Plan International USA","plan_usa",69121231,"https://www.planusa.org/docs/financial-statements-fy-2014.pdf",,"Non-calendar year ended 30th June 2014 (so technically for previous year, but very close and no other report available), total program expenses, page 2 of report",,,,,,"USD","Y"
"Plan Ireland Charitable Assistance Limited","plan_ireland",11399083,"http://www.plan.ie/wp-content/uploads/2015/10/Plan_Report_2015_Web_FINAL.pdf",,"Non-calendar year ended 30th June 2015, charitable activity, page 46 of report",,,,,,"EUR",
"PONT","pont",372949,"http://apps.charitycommission.gov.uk/Accounts/Ends48/0001125948_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities - general activities, page 6 of report",,,,,,"GBP",
"Pontis Foundation","pontis","NO DATA",,,,"NO DATA",,,,,,
"Population Service International","psi",588339861,"http://www.psi.org/wp-content/uploads/2015/08/PSI-Statutory-Audit-Report-2014.pdf",,"Total program services, page 6 of report",,,,,,"USD",
"Power International","power","NO DATA","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=1059996&SubsidiaryNumber=0",,,,,,,,,
"Practical Action","pa",22240000,"http://apps.charitycommission.gov.uk/Accounts/Ends57/0000247257_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities",,,,,,"GBP",
"Pragya India","pragya",42480957.12,"http://www.pragya.org/fcra/fcra2014-15.pdf",,"Non-calendar year ended 31st March 2015, direct expenses against grants, page 8 of report ",,,,,,"INR",
"Private Infrastructure Development Group","pidg","NO DATA",,,,"NO DATA",,,,,"USD",
"Progressio","progressio",5720000,"http://apps.charitycommission.gov.uk/Accounts/Ends29/0000294329_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Project Harar","phe",401500,"http://apps.charitycommission.gov.uk/Accounts/Ends72/0001094272_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Protecting Families Against HIV/AIDS","prefa_1",1025722,"http://www.prefa.or.ug/wp-content/uploads/2014/07/PREFA-Annual-report-2014_2015-V1.pdf",,"Non-calendar year ended 31st March 2015, project costs, page 26 of report",,,,,,"USD",
"Publish What You Fund","pwyf",603226,"http://www.publishwhatyoufund.org/files/2013/02/2014-Annual-Report.pdf",,"Non-calendar year ended 30th September 2014, charitable activities, page 8 of report",,,,,,"GBP",
"Pump Aid","pumpaid",1020000,"http://apps.charitycommission.gov.uk/Accounts/Ends89/0001077889_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"PwC","pwc","NO DATA",,,,"NO DATA",,,,,,
"Rahnuma-Family Planning Assocation of Pakistan","rfpap",5331179,"http://www.fpapak.org/upload/94d190e4a6ee380a529cb75f73a3d6d2.pdf",,"Total direct project expenses, page 62 of report",,,,,,"USD",
"Railway Children","rc",2290000,"http://apps.charitycommission.gov.uk/Accounts/Ends91/0001058991_AC_20150531_E_C.pdf",,"Non-calendar year ended 31st May 2015, charitable activities from charity commission summary",,,,,,"GBP",
"RAIN Foundation","rainfoundation",2425038,"http://www.rainfoundation.org/wp-content/uploads/2015/09/Annual-report-2014-final.pdf",,"Project costs, page 39 of report",,,,,,"EUR",
"Rainforest Foundation UK","rfuk",2400000,"http://apps.charitycommission.gov.uk/Accounts/Ends87/0001138287_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Relief International UK","ri-uk",19380000,"http://apps.charitycommission.gov.uk/Accounts/Ends06/0001098106_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Resource Extraction Monitoring","rem","NO DATA",,,,"NO DATA",,,,,,
"Restless Development","restless",9360000,"http://apps.charitycommission.gov.uk/Accounts/Ends88/0001127488_AC_20140930_E_C.pdf",,"Non-calendar year ended 30th September 2014, charitable activities from charity commission summary",,,,,,"GBP",
"Retrak","retrak",1080000,"http://apps.charitycommission.gov.uk/Accounts/Ends99/0001122799_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Rojiroti UK","rojiroti",63963,"http://apps.charitycommission.gov.uk/Accounts/Ends83/0001147083_AC_20140630_E_C.pdf",,"Non-calendar year ended 30th June 2014 (so technically for the previous year), grants to CPSL, page 6 of report pdf",,,,,,"GBP",
"Romania Ministry of Foreign Affairs","uasd",69844464.68,"DAC",,"MFA publishes all of RO Gov's spending - not all of which is pubished to CRS, but most of which is published to IATI. This figue is all of RO Gov's CRS spending (so multiple departments)
",,,,,,"USD",
"Royal Society for the Protection of Birds","rspb_",93870000,"http://apps.charitycommission.gov.uk/Accounts/Ends76/0000207076_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Saferworld","saferworld",11970000,"http://apps.charitycommission.gov.uk/Accounts/Ends43/0001043843_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Samaritan's Purse UK","spuk",16950000,"https://s3-eu-west-1.amazonaws.com/spuk/wp-content/uploads/2016/01/13184307/SP-Financial-Accounts-YE310315.pdf",,"Non-calendar year ended 31st March 2015, charitable activities, page 21 of report",,,,,,"GBP",
"Save the Children UK","scuk",308150000,"http://apps.charitycommission.gov.uk/Accounts/Ends90/0000213890_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Scottish Catholic International Aid Fund (SCIAF)","sciaf",7651000,"http://www.sciaf.org.uk/media/sciaf-annual-report-2014.html",,"International programmes & emergencies plus campaigning, public education & policy, page 3 of report",,,,,,"GBP",
"Self Help Africa","self-help-africa",12837332,"https://selfhelpafrica.org/uk/finances/",,"Expenditure - programmes ",,,,,,"EUR","Y"
"Send a Cow","sendacow",5400000,"https://www.sendacow.org/Handlers/Download.ashx?IDMF=f1453233-2a7d-489d-b16b-05aefe76e364",,"Non-calendar year ended 30th June 2015, group outgoing resources minus goverance and fundraising",,,,,,"GBP",
"Send a Cow Uganda","sacu","NO DATA",,,,"NO DATA",,,,,,
"Sense International","sense_international",1516722,"http://apps.charitycommission.gov.uk/Accounts/Ends97/0001076497_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"ShelterBox","shelterbox",6460000,"http://shelterbox.org/uploads/Sources/Downloads/shelterbox_trust_annual_report_2014.pdf",,"Charitable activities, page 28 of report",,,,,,"GBP",
"Shtrii Shakti","shtrii_shakti","NO DATA",,,,"NO DATA",,,,,,
"Sightsavers","ss-org",35804000,"http://apps.charitycommission.gov.uk/Accounts/Ends44/0000207544_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary, p.65 Direct Charitable expenditure less Gifts in Kind",,,,,,"GBP",
"Signal","signal","NO DATA",,,,"NO DATA",,,,,,
"Social Impact Lab CIC","simlab",175407,,,"Hard to locate report - Publisher gave figures directly",160098.52,,,"Hard to locate report - Publisher gave figures directly",,"GBP",
"SOS Children's Villages Kenya","soscvkenya","NO DATA",,,,"NO DATA",,,,,,
"SOS Sahel International UK","sossaheluk",1720000,"http://apps.charitycommission.gov.uk/Accounts/Ends11/0000296311_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Southern African Catholic Bishops' Conference Aids Office","sacbc","NO DATA",,,,"NO DATA",,,,,,
"Spain - Ministry of Foreign Affairs and Cooperation","maec",9997358878,"DAC*",,"Ministry of Foreign Affairs and Co-operation",,,,,,"USD",
"SPARK","spark",8520844,"http://www.spark-online.org/wp-content/uploads/2013/04/SPARK_Annual-Report_2014.pdf",,"Spent on objectives, page 95 of report",,,,,,"EUR",
"Stars Foundation","starsfoundation",1850000,"http://apps.charitycommission.gov.uk/Accounts/Ends97/0001087997_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Stichting Child Savings International","aflatoun",1638788,"http://www.aflatoun.org/publications",,"Total expenses for strategic objectives, page 52 of report",,,,,,"EUR",
"Stichting Dorcas Aid International","dorcas",18194158,"http://www.dorcas.org/wp-content/uploads/sites/3/2015/05/Dorcas-Annual-Report-2014.pdf",,"Spent on objectives, page 70 of report",,,,,,"EUR",
"Stichting fondsbeheer DGGF lokaal MKB","dggf_financing_local_smes","NO DATA",,,,"NO DATA",,,,,,
"Stichting Humana","humana_houben","NO DATA",,,,"NO DATA",,,,,,
"Stichting Red een Kind","redeenkind",10619000,"https://www.redeenkind.nl/download/CAwdEAwUUkNKWEE=&inline=0",,"Expenditure on objectives, page 94 of report",,,,,,"EUR",
"Stichting Vluchteling","st_vluchteling",10463967,"https://www.vluchteling.nl/~/media/Files/Jaarverslag/Jaarverslag-2014/Financieel-JV-2014-Interact-pdf.ashx",,"p. 32",18373534,,,"Figure directly from publisher; draft",,"EUR",
"Street Child","street_child",2380000,"http://www.street-child.co.uk/?gclid=CjwKEAiA3Ou1BRDso5XyhduuwFASJABP3PEDfyp9RdT4AgqN260JAaAoELNILhrjqwjovQWK0bnUuhoCcBXw_wcB",,"Non-calendar year ended 31st March 2015, charitable spending",,,,,,"GBP",
"StreetInvest","si",599700,"http://apps.charitycommission.gov.uk/Accounts/Ends06/0001127206_AC_20141031_E_C.pdf",,"Non-calendar year ended 31st October 2014, charitable activities from charity commission summary",,,,,,"GBP",
"Stromme Foundation","stromme_ug","NO DATA",,,,"NO DATA",,,,,"GBP",
"Survivors Fund (SURF)","surf",815700,"http://apps.charitycommission.gov.uk/Accounts/Ends05/0001065705_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Sweden, through Swedish International Development Cooperation Agency (Sida)","sida",4260694963,"DAC*",,"Ministry of Foreign Affairs + Swedish International Development Authority",,,,,,"USD",
"Switzerland - Swiss Agency for Development and Cooperation (SDC)","sdc_ch",1655410561,"DAC*",,"Swiss Agency for Development and Co-operation",,,,,,"USD",
"Sympany+","simone_sympany","NO DATA",,,,"NO DATA",,,,,,
"Target TB","targettb","NO DATA",,,,"NO DATA",,,,,"GBP",
"TB Alert","tbalert",758328,"http://www.tbalert.org/wp-content/uploads/2016/01/Annual-Report-and-Accounts-2014-15.pdf",,"Non-calendar year ended 31st March 2015, sum of charitable activities",,,,,,"GBP",
"Teach A Man To Fish","tamtf",485300,"http://apps.charitycommission.gov.uk/Accounts/Ends99/0001112699_AC_20150430_E_C.pdf",,"Non-calendar year ended 30th April 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Tearfund","tearfund",57833000,"http://www.tearfund.org/~/media/files/main%20site/about%20us/financial%20reports%202015.pdf",,"Non-calendar year ended 31st March 2015, total charitable activities",,,,,,"GBP",
"The Asia Foundation","taf",119677000,"http://asiafoundation.org/resources/pdfs/20150930TheAsiaFoundationFS.pdf",,"Non-calendar year ended 30th September 2014, 'Program, grants and related services' plus 'Books for Asia distribution', page 5 of report",106028000,"http://asiafoundation.org/resources/pdfs/20150930TheAsiaFoundationFS.pdf",,"Non-calendar year ended 30th September 2015, 'Program, grants and related services' plus 'Books for Asia distribution', page 4 of report",,"USD",
"The Coca-Cola Export Corporation","tccec","NO DATA",,,,"NO DATA",,,,,,
"The Foundation Center","foundation_center",19568101,"http://foundationcenter.org/about/FC_financials_2014.pdf",,"Total program services",,,,,,"USD",
"The Global Alliance for Improved Nutrition","gain",21129038,"http://www.gainhealth.org/wp-content/uploads/2014/02/Financial-Statements-2014.pdf",,"Non-calendar year ended 30th June 2015, operational costs plus sub-awards, page 7 of report pdf",,,,,,"USD",
"The Global Fund to Fight AIDS, Tuberculosis and Malaria","theglobalfund",2563000000,"http://www.theglobalfund.org/documents/publications/annual_reports/Corporate_2014AnnualFinancial_Report_en/",,"Expenditure - grants, page 26 of report",,,,,,"USD",
"The International Children's Trust","theict",427825,"http://apps.charitycommission.gov.uk/Accounts/Ends81/0000254781_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"The Leprosy Mission England and Wales","tlmew",4600000,"http://apps.charitycommission.gov.uk/Accounts/Ends27/0001050327_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"The OPEC Fund for International Development (OFID)","ofid",1148289426,"DAC*",,"OFID",,,,,,"USD",
"The Open University","open_university","NO DATA",,,,"NO DATA",,,,,,
"The Sabre Charitable Trust","sct",269367,"http://www.sabretrust.org/downloads/Sabre_AR_2015.pdf",,"Non-calendar year ended 31st March 2015, cost of charitable activities",,,,,,"GBP",
"The Salvation Army International Development UK","said-uk","NO DATA",,,,"NO DATA",,,,,,
